index,ride_id,rideable_type,user_type,day,month,type_week,season,trip_start_hour,start_station_name,start_user_total,end_station_name,end_user_total
1452,47FCB16D7CAE1AEA,docked_bike,casual,2,1,weekday,winter,14,Sheffield Ave & Wrightwood Ave,4585,Federal St & Polk St,4503
1459,BDDC9FFCC61F7204,docked_bike,casual,13,1,weekday,winter,8,McClurg Ct & Erie St,4561,Sheffield Ave & Webster Ave,4473
1463,5CCCD1316E6BBDAA,docked_bike,casual,3,1,weekday,winter,14,Cannon Dr & Fullerton Ave,4452,Sheridan Rd & Montrose Ave,4451
1465,9B53B178AD02A6B8,docked_bike,casual,5,1,weekend,winter,15,Sheffield Ave & Webster Ave,4452,Cannon Dr & Fullerton Ave,4437
1487,156A5AA08FBBD752,docked_bike,casual,27,1,weekday,winter,18,Green St & Randolph St,4377,Halsted St & Dickens Ave,4385
1490,2BB9BB4A09DE85D8,docked_bike,casual,2,1,weekday,winter,16,Clark St & Grace St,4362,McClurg Ct & Erie St,4378
1496,244AAAEC6FB9242C,docked_bike,casual,9,1,weekday,winter,21,Wilton Ave & Diversey Pkwy,4287,Michigan Ave & Jackson Blvd,4289
1552,20823E2E3B1030ED,docked_bike,casual,27,1,weekday,winter,11,Morgan St & Lake St,4273,Sheffield Ave & Wrightwood Ave,4284
1553,6F4639CED2E029CD,docked_bike,casual,27,1,weekday,winter,15,Sheridan Rd & Montrose Ave,4264,Clark St & Grace St,4273
1621,AF60FD2D1AF556D9,docked_bike,casual,13,1,weekday,winter,8,Halsted St & Wrightwood Ave,4256,Mies van der Rohe Way & Chicago Ave,4236
1639,64A313DA16ACC151,docked_bike,casual,3,1,weekday,winter,21,Daley Center Plaza,4179,Kedzie Ave & Milwaukee Ave,4231
1771,85984BABED93D667,docked_bike,casual,31,1,weekday,winter,18,Franklin St & Jackson Blvd,4073,Cityfront Plaza Dr & Pioneer Ct,4088
1807,0603B559E82A4232,docked_bike,casual,5,1,weekend,winter,14,Ritchie Ct & Banks St,4052,Milwaukee Ave & Grand Ave,4079
1809,7B1065EA8B4B2B4A,docked_bike,casual,24,1,weekday,winter,22,Wood St & Milwaukee Ave,4050,Wilton Ave & Diversey Pkwy,4076
1822,1D4AAA3CA5535751,docked_bike,casual,3,1,weekday,winter,13,Halsted St & Dickens Ave,4049,Halsted St & Wrightwood Ave,4033
1828,51B6CAC89373CB55,docked_bike,casual,20,1,weekday,winter,15,Michigan Ave & 14th St,4046,Ritchie Ct & Banks St,3966
1829,2AD0F3C3571AADA3,docked_bike,casual,3,1,weekday,winter,12,Milwaukee Ave & Grand Ave,4031,Michigan Ave & 14th St,3956
1863,1859AC8F4B51BE58,docked_bike,casual,5,1,weekend,winter,18,Clark St & Chicago Ave,3977,Kingsbury St & Erie St,3899
1866,4981920FB9B295DD,docked_bike,casual,4,1,weekend,winter,10,Wabash Ave & Adams St,3952,LaSalle Dr & Huron St,3885
1894,EDF1558A0B474390,docked_bike,casual,30,1,weekday,winter,15,Kingsbury St & Erie St,3945,Wabash Ave & Adams St,3851
1938,461ED73F2664E288,docked_bike,casual,17,1,weekday,winter,7,LaSalle Dr & Huron St,3944,Clarendon Ave & Junior Ter,3707
1971,01486AD36D07F239,docked_bike,casual,4,1,weekend,winter,9,Kedzie Ave & Milwaukee Ave,3940,Dearborn St & Monroe St,3683
1986,4584924A7A8E2D50,docked_bike,casual,10,1,weekday,winter,17,Marine Dr & Ainslie St,3931,Marine Dr & Ainslie St,3675
1999,B07B9F84E12D6975,docked_bike,casual,6,1,weekday,winter,17,Sedgwick St & North Ave,3879,Sedgwick St & North Ave,3639
2000,28D9E2A6654FA3D1,docked_bike,casual,6,1,weekday,winter,16,Mies van der Rohe Way & Chicago Ave,3862,Daley Center Plaza,3638
2001,0DF8E888EF166A7F,docked_bike,casual,2,1,weekday,winter,9,Clinton St & Madison St,3824,Clark St & Chicago Ave,3626
2128,DD60D55AEB74FC31,docked_bike,casual,25,1,weekend,winter,23,Field Blvd & South Water St,3824,Racine Ave & Belmont Ave,3625
2143,62069964B93CF51D,docked_bike,casual,4,1,weekend,winter,9,Dearborn St & Monroe St,3803,Halsted St & Clybourn Ave,3585
2147,201478F810FBEA11,docked_bike,casual,1,1,weekday,winter,13,Clarendon Ave & Junior Ter,3636,Michigan Ave & 18th St,3490
2153,43077282E7BB81B8,docked_bike,casual,27,1,weekday,winter,18,Clark St & Randolph St,3629,Milwaukee Ave & Wabansia Ave,3481
2160,BA3BEA563D14DBF7,docked_bike,casual,7,1,weekday,winter,13,Michigan Ave & Madison St,3604,State St & Harrison St,3478
2187,F84224BE110AA476,docked_bike,casual,31,1,weekday,winter,20,State St & Pearson St,3594,State St & Pearson St,3452
2214,24C2A119529862B9,docked_bike,casual,5,1,weekend,winter,15,Racine Ave & Belmont Ave,3574,Michigan Ave & Madison St,3407
2216,3A174B34A3480DAA,docked_bike,casual,1,1,weekday,winter,0,Halsted St & Clybourn Ave,3533,Field Blvd & South Water St,3388
2217,D1F476629D207674,docked_bike,casual,28,1,weekday,winter,15,Honore St & Division St,3441,Clark St & Randolph St,3349
2223,EFAA41D10E02A518,docked_bike,casual,8,1,weekday,winter,13,Michigan Ave & 18th St,3405,Burnham Harbor,3340
2292,DDA313FF43F76585,docked_bike,casual,22,1,weekday,winter,15,Sedgwick St & Webster Ave,3376,Clinton St & Madison St,3327
2301,DA4DF0F5C3F6D2B2,docked_bike,casual,4,1,weekend,winter,12,Sheridan Rd & Irving Park Rd,3372,Franklin St & Jackson Blvd,3305
2304,67134BC02A0BB1AC,docked_bike,casual,7,1,weekday,winter,18,Franklin St & Illinois St,3359,Stetson Ave & South Water St,3294
